,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
675,CHS4214-001,CHS4214,1,발달진단 및 심리평가,3,3.0,전공선택,[  0   0 126   0   0   0   0],김혜은,상대평가, 
693,CIV3150-001,CIV3150,1,철근콘크리트설계,3,3.0,전공선택,[  0 112 112   0   0   0   0],이종한,절대평가, 
701,CIV3721-001,CIV3721,1,글로벌건설,2,3.0,전공필수,[  0   0 126   0   0   0   0],이시욱,상대평가, 
703,CIV4100-001,CIV4100,1,강구조설계,4,3.0,전공선택,[112   0 112   0   0   0   0],박연철,상대평가, 
729,COM4221-001,COM4221,1,언론정보법제론,전체,3.0,전공선택,[112   0 112   0   0   0   0],하주용,상대평가, 
731,COM4313-001,COM4313,1,방송뉴스시사심화실습,전체,3.0,전공선택,[  0   0 126   0   0   0   0],최삼호,절대평가, 
735,CON1301-001,CON1301,1,미래테크놀로지와소비생활,1,3.0,전공선택,[ 14   0 112   0   0   0   0],여정희,상대평가, 
737,CON2203-001,CON2203,1,소비자재무설계,2,3.0,전공선택,[  0 112 112   0   0   0   0],이종희,상대평가, 
746,CON4004-001,CON4004,1,소비자학 논문설계 및 작성,4,3.0,전공선택,[  0   0 126   0   0   0   0],조향숙,상대평가, 
767,CSE2104-002,CSE2104,2,인터넷 프로그래밍,2,3.0,전공선택,[480   0 480   0   0   0   0],이연,상대평가,선수
772,CSE2107-002,CSE2107,2,자바기반응용프로그래밍,2,3.0,전공선택,[  0   0 480 480   0   0   0],이욱,상대평가,선수
805,CSE4204-004,CSE4204,4,알고리즘,3,3.0,전공선택,[  0   0 112   0 112   0   0],김영호,상대평가,선수
819,DET1001-001,DET1001,1,그래픽디자인스튜디오,1,3.0,전공선택,[  0   0 126   0   0   0   0],정하영,절대평가, 
828,DET2001-001,DET2001,1,기초3D애니메이션,2,3.0,전공필수,[  0   0 126   0   0   0   0],김윤정,절대평가, 
833,DET2006-002,DET2006,2,AR/VR 영상제작,2,3.0,전공선택,[  0   0 126   0   0   0   0],이완구,절대평가, 
860,DSC4006-001,DSC4006,1,데이터분석 사례연구,4,3.0,전공선택,[  0   0 126   0   0   0   0],"박보용,김승환,김재오,남지현,최두원",상대평가, 
861,ECE1211-001,ECE1211,1,전자기초디지털논리설계,1,3.0,전공필수,[7280    0 7280    0    0    0    0],이상민,상대평가, 
897,ECE3419-001,ECE3419,1,마이크로웨이브공학,전체,3.0,전공선택,[  0   0 992 992   0   0   0],고일석,상대평가, 
901,ECE4416-001,ECE4416,1,의공학설계,4,3.0,전공선택,[  0 112 112   0   0   0   0],이상민,상대평가, 
910,ECE4461-002,ECE4461,2,집적회로공정,4,3.0,전공선택,[  0   0 126   0   0   0   0],김봉석,상대평가,선수
925,ECO3243-001,ECO3243,1,경제학을 위한 프로그래밍,전체,3.0,전공선택,[1572976       0     112       0       0       0       0],윤영진,절대평가, 
934,ECO3361-001,ECO3361,1,화폐금융론,전체,3.0,전공선택,[126   0 126   0   0   0   0],서현덕,상대평가, 
956,EDC1111-002,EDC1111,2,사회 변화와 교사 역량,1,2.0,교양필수,[  0   0 120   0   0   0   0],박지인,상대평가, 
970,EDC3106-004,EDC3106,4,교육행정 및 교육경영,전체,2.0,교직과정,[  0   0 480   0   0   0   0],강경석,절대평가, 
981,EDC4109-004,EDC4109,4,교육실습,4,2.0,교직과정,[  0   0 240   0   0   0   0],이현우,절대평가, 
